Country,Total cases,New cases,total deaths,new deaths,total recovered,new recovered,active cases,serious Cases,total test,population
USA,"96,347,971",,"1,071,420 ",,"92,023,741",,"3,252,810","4,006","1,101,062,482", 
India,"44,435,215",,"527,874 ",,"43,835,852",,"71,489",698,"885,881,136","1,409,310,426 "
France,"34,529,201",,"154,093 ",,"34,015,188",,"359,920",869,"271,490,188","65,585,393 "
Brazil,"34,472,679",,"684,029 ",,"33,480,980",,"307,670","8,318","63,776,166","215,822,801 "
Germany,"32,184,553",,"147,494 ",,"31,204,400",,"832,659","1,406","122,332,384","84,362,457 "
UK,"23,521,792",,"188,242 ",,"23,205,649",+420,"127,901",146,"522,526,476","68,656,152 "
S. Korea,"23,327,897","+81,499","26,876 ",+112,"21,329,194","+119,528","1,971,827",555,"15,804,065","51,364,453 "
Italy,"21,867,757",,"175,595 ",,"21,046,229",,"645,933",213,"242,418,090","60,269,892 "
Russia,"19,528,969",,"384,346 ",,"18,596,634",,"547,989","2,300","273,400,000","146,069,569 "
Japan,"18,772,004",,"39,564 ",,"16,875,963",,"1,856,477",591,"71,372,933","125,640,688 "
Turkey,"16,671,848",,"100,400 ",,N/A,N/A,N/A,975,"162,743,369","86,299,375 "
Spain,"13,342,530",,"112,600 ",,"13,113,979",,"115,951",339,"471,036,328","46,793,878 "
Vietnam,"11,411,679",,"43,117 ",,"10,178,760",,"1,189,802",149,"85,826,548","99,230,284 "
Australia,"10,040,705","+9,556","13,944 ",+41,"9,906,176",,"120,585",77,"78,217,160","26,138,983 "
Argentina,"9,678,225",,"129,711 ",,"9,481,735","+4,456","66,779",456,"35,716,069","46,091,565 "
Netherlands,"8,386,307",,"22,600 ",,"8,316,043",,"47,664",35,"21,107,399","17,216,739 "
Iran,"7,528,961",,"143,867 ",,"7,296,683",,"88,411","1,082","53,730,223","86,315,256 "
Mexico,"7,027,252","+5,654","329,494 ",+38,"6,280,542","+5,780","417,216","4,798","18,176,077","131,858,780 "
Indonesia,"6,358,808",,"157,566 ",,"6,156,034",,"45,208","2,771","106,732,670","279,771,172 "
Colombia,"6,299,595",,"141,519 ",,"6,122,457",,"35,619",342,"36,279,188","52,054,373 "
Poland,"6,176,885",,"117,093 ",,"5,335,961",,"723,831","2,782","36,959,797","37,757,122 "
Portugal,"5,420,140",,"24,855 ",,"5,323,606",,"71,679",61,"43,527,258","10,132,530 "
Taiwan,"5,308,029",,"9,914 ",,"4,814,598",,"483,517",,"24,315,529","23,909,855 "
Ukraine,"5,044,941",,"108,803 ",,"4,923,140",+777,"12,998",177,"19,521,252","43,166,717 "
Austria,"4,908,274",,"19,418 ",,"4,824,069",,"64,787",62,"195,496,226","9,117,381 "
Malaysia,"4,782,624",,"36,216 ",,"4,715,417",,"30,991",69,"63,754,369","33,261,780 "
DPRK,"4,772,813",,74 ,,"4,772,739",,0,,,"26,022,791 "
Greece,"4,762,827",,"32,552 ",,"4,663,105","+8,184","67,170",115,"91,707,649","10,313,168 "
Thailand,"4,652,923","+2,004","32,331 ",+25,"4,604,605","+1,743","15,987","1,496","17,270,775","70,178,181 "
Israel,"4,633,426",,"11,620 ",,"4,610,924",,"10,882",266,"41,373,364","9,326,000 "
Chile,"4,508,422",,"60,451 ",,"4,423,279",,"24,692",154,"43,971,385","19,470,625 "
Belgium,"4,482,315",,"32,516 ",,"4,392,685","+2,738","57,114",63,"35,286,170","11,698,548 "
Canada,"4,158,491",,"43,797 ",,"4,032,761","+4,085","81,933",261,"64,259,009","38,456,909 "
Peru,"4,102,641",,"215,745 ",,"3,839,709",,"47,187",216,"34,303,728","33,964,033 "
Czechia,"4,040,773",,"40,814 ",,"3,985,517",,"14,442",24,"55,963,648","10,751,880 "
Switzerland,"4,025,870",,"14,148 ",,"3,938,868","+1,775","72,854",46,"22,103,405","8,791,321 "
South Africa,"4,011,937",,"102,084 ",,"3,902,822",,"7,031",192,"26,168,861","60,923,970 "
Philippines,"3,880,229",,"61,814 ",,"3,794,234",,"24,181",682,"32,226,732","112,731,674 "
Romania,"3,219,354",,"66,709 ",,"3,096,517",,"56,128",208,"24,663,791","18,960,741 "
Denmark,"3,091,962",,"6,923 ",,"3,075,183",,"9,856",6,"128,199,509","5,836,249 "
Sweden,"2,564,423",,"19,779 ",,"2,523,506",+738,"21,138",17,"18,844,252","10,235,271 "
Iraq,"2,457,871",,"25,346 ",,"2,429,962",,"2,563",21,"19,212,734","42,172,434 "
Serbia,"2,283,195",,"16,684 ",,"2,186,355",,"80,156",27,"10,677,222","8,661,406 "
Hungary,"2,048,547",,"47,291 ",,"1,962,698",,"38,558",23,"11,394,556","9,607,399 "
Bangladesh,"2,011,946",,"29,323 ",,"1,956,483",,"26,140","1,331","14,751,724","168,233,428 "
Singapore,"1,839,244",,"1,592 ",,"1,760,918",,"76,734",9,"24,342,902","5,949,719 "
Slovakia,"1,834,215",,"20,353 ",,"1,808,785",,"5,077",22,"7,268,067","5,465,352 "
New Zealand,"1,743,042","+2,202","2,744 ",+2,"1,726,116","+2,884","14,182",,"7,486,691","5,002,100 "
Georgia,"1,735,682",,"16,889 ",,"1,637,293",,"81,500",,"16,920,079","3,972,637 "
Jordan,"1,735,495",,"14,110 ",,"1,718,032",,"3,353",59,"17,128,152","10,421,922 "
Ireland,"1,656,956",,"7,798 ",,"1,639,021",,"10,137",15,"12,636,194","5,056,928 "
